Variable,Value
latest.school.zip,20850
latest.school.city,Rockville
latest.school.name,Montgomery College
latest.school.alias,Montgomery College - Rockville  Montgomery College - Takoma Park  Montgomery College - Germantown
latest.school.state,MD
latest.school.locale,13
latest.school.address,51 Mannakee Street
latest.school.dolflag,1
latest.school.branches,1
latest.school.men_only,0
latest.school.operating,1
latest.school.ownership,1
latest.school.region_id,2
latest.school.accreditor,Middle States Commission on Higher Education
latest.school.school_url,www.montgomerycollege.edu/
latest.school.state_fips,24
latest.school.women_only,0
latest.school.main_campus,1
latest.school.online_only,0
latest.school.endowment.end,34550297
latest.school.endowment.begin,32518029
latest.school.carnegie_basic,2
latest.school.faculty_salary,9083
latest.school.ownership_peps,1
latest.school.peps_ownership,Public
latest.school.accreditor_code,MSACHE
latest.school.ft_faculty_rate,0.3829
latest.school.sector.scorecard,7
latest.school.carnegie_undergrad,1
latest.school.degree_urbanization,
latest.school.under_investigation,0
latest.school.price_calculator_url,appserv.montgomerycollege.edu/netprice/NetPriceCalculator/npcalc.htm
latest.school.carnegie_size_setting,5
latest.school.minority_serving.annh,0
latest.school.minority_serving.nant,0
latest.school.minority_serving.aanipi,1
latest.school.minority_serving.tribal,0
latest.school.minority_serving.hispanic,1
latest.school.minority_serving.historically_black,0
latest.school.minority_serving.predominantly_black,0
latest.school.religious_affiliation,
latest.school.open_admissions_policy,1
latest.school.title_iv.approval_date,3/1/1967
latest.school.title_iv.eligibility_type,1
latest.school.degrees_awarded.highest,2
latest.school.degrees_awarded.predominant,2
latest.school.degrees_awarded.predominant_recoded,2
latest.school.tuition_revenue_per_fte,4480
latest.school.instructional_expenditure_per_fte,10029
latest.school.institutional_characteristics.level,2
latest.student.size,13519
latest.student.grad_students,
latest.student.size_category,2
latest.student.enrollment.all,
latest.student.enrollment.grad_12_month,
latest.student.enrollment.undergrad_12_month,24105
latest.student.share_25_older,0.226
latest.student.part_time_share,0.6333
latest.student.demographics.men,0.4994
latest.student.demographics.women,0.5006
latest.student.demographics.married,0.0996243037
latest.student.demographics.veteran,0.0044047156
latest.student.demographics.age_entry,23
latest.student.demographics.dependent,0.6797512631
latest.student.demographics.faculty.men,0.5893
latest.student.demographics.faculty.women,0.4107
latest.student.demographics.faculty.race_ethnicity.aian,0.0089
latest.student.demographics.faculty.race_ethnicity.nhpi,0
latest.student.demographics.faculty.race_ethnicity.asian,0.1317
latest.student.demographics.faculty.race_ethnicity.black,0.1786
latest.student.demographics.faculty.race_ethnicity.white,0.5871
latest.student.demographics.faculty.race_ethnicity.unknown,0
latest.student.demographics.faculty.race_ethnicity.hispanic,0.0737
latest.student.demographics.faculty.race_ethnicity.two_or_more,0.0201
latest.student.demographics.faculty.race_ethnicity.non_resident_alien,0
latest.student.demographics.female_share,0.5606943905
latest.student.demographics.poverty_rate,5.42000007629394
latest.student.demographics.unemployment,2.86999988555908
